Primary NAICS,Chemical,Clean Air Act Chemical,Metal,Metal Category,Carci0gen,Unit of Measure,Total Releases
332999,LEAD COMPOUNDS,1,1,1,0,Pounds,110
327999,LEAD COMPOUNDS,1,1,1,0,Pounds,0.1
332431,N-BUTYL ALCOHOL,0,0,0,0,Pounds,39400
332431,FORMALDEHYDE,1,0,0,1,Pounds,442
334413,LEAD,1,1,1,1,Pounds,0
332431,HYDROGEN FLUORIDE,1,0,0,0,Pounds,119
332431,N-BUTYL ALCOHOL,0,0,0,0,Pounds,32000
334412,LEAD COMPOUNDS,1,1,1,0,Pounds,0.53
311513,NITRATE COMPOUNDS,0,0,0,0,Pounds,5374
332811,AMMONIA,0,0,0,0,Pounds,0
INVALD,TRICHLOROETHYLENE,1,0,0,1,Pounds,10113
325414,METHANOL,1,0,0,0,Pounds,986
334417,COPPER,0,1,1,0,Pounds,0.2949
221112,"1,2,4-TRIMETHYLBENZENE",0,0,0,0,Pounds,16395
221112,N-HEXANE,1,0,0,0,Pounds,16395
221112,NAPHTHALENE,1,0,0,0,Pounds,24592
424710,BENZENE,1,0,0,1,Pounds,52.54
424710,TOLUENE,1,0,0,0,Pounds,1442.07
424690,PROPYLENE,0,0,0,0,Pounds,688
314992,FORMALDEHYDE,1,0,0,1,Pounds,2248
325188,NITRATE COMPOUNDS,0,0,0,0,Pounds,21.7
325510,XYLENE (MIXED ISOMERS),1,0,0,0,Pounds,277
326299,TOLUENE,1,0,0,0,Pounds,13503
323110,NITRATE COMPOUNDS,0,0,0,0,Pounds,0
322121,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0
322121,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0
334419,ZINC COMPOUNDS,0,1,1,0,Pounds,3227.82
334417,LEAD,1,1,1,1,Pounds,0.06105
325998,SODIUM NITRITE,0,1,2,0,Pounds,0
326199,STYRENE,1,0,0,1,Pounds,3234
336312,"1,2,4-TRIMETHYLBENZENE",0,0,0,0,Pounds,774
325181,TETRACHLOROETHYLENE,1,0,0,1,Pounds,10348.96
336413,COPPER,0,1,1,0,Pounds,27
221112,AMMONIA,0,0,0,0,Pounds,61800
325412,DICHLOROMETHANE,1,0,0,1,Pounds,3049
332721,CHROMIUM,1,1,1,1,Pounds,0.03
332721,COPPER,0,1,1,0,Pounds,2.33
332721,LEAD,1,1,1,1,Pounds,0.1
332431,LEAD,1,1,1,1,Pounds,3.97
332321,COPPER,0,1,1,0,Pounds,755
424690,CHLORINE,1,0,0,0,Pounds,1
424690,CHLORINE,1,0,0,0,Pounds,2
332812,LEAD,1,1,1,1,Pounds,61
313230,ANTIMONY COMPOUNDS,1,1,1,0,Pounds,7519
325992,HYDROQUI0NE,1,0,0,0,Pounds,5
327420,MERCURY,1,1,1,0,Pounds,0.22
332812,N-BUTYL ALCOHOL,0,0,0,0,Pounds,346
326199,STYRENE,1,0,0,1,Pounds,3423
325188,CHLORINE,1,0,0,0,Pounds,1090
325188,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",1,0,0,0,Pounds,4014
313320,N-METHYL-2-PYRROLIDONE,0,0,0,0,Pounds,1058.48
313320,TOLUENE,1,0,0,0,Pounds,8481.15
339113,LEAD,1,1,1,1,Pounds,985.6043
562211,3-IODO-2-PROPYNYL BUTYLCARBAMATE,0,0,0,0,Pounds,31000
562211,ALUMINUM (FUME OR DUST),0,1,4,0,Pounds,52600
562211,BARIUM COMPOUNDS,0,1,3,0,Pounds,66118.3
562211,LEAD COMPOUNDS,1,1,1,0,Pounds,129210.4
562211,NICKEL,1,1,1,1,Pounds,26131.8
562211,PENTACHLOROPHE0L,1,0,0,1,Pounds,168
562211,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,1124.7
562211,ZINC COMPOUNDS,0,1,1,0,Pounds,10604
334418,LEAD,1,1,1,1,Pounds,0
335314,LEAD,1,1,1,1,Pounds,10.6
327211,LEAD COMPOUNDS,1,1,1,0,Pounds,73.325
331524,COPPER,0,1,1,0,Pounds,197
221112,MANGANESE COMPOUNDS,1,1,1,0,Pounds,28133
221112,"1,2,4-TRIMETHYLBENZENE",0,0,0,0,Pounds,0
221112,BARIUM COMPOUNDS,0,1,3,0,Pounds,31199
221112,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",1,0,0,0,Pounds,4818
221112,LEAD COMPOUNDS,1,1,1,0,Pounds,5372
