Primary NAICS,Chemical,Clean Air Act Chemical,Metal,Carcinogen,Unit of Measure,5.2 Stack Air,On-site Release Total,Off-Site Release Total,Total Releases
325211,PHENOL,YES,NO,NO,Pounds,2356,2606,27840,30446
334417,POLYCHLORINATED BIPHENYLS,YES,NO,YES,Pounds,0,0,18.5,18.5
327999,LITHIUM CARBONATE,NO,YES,NO,Pounds,81.4,81.4,1730,1811.4
334414,LEAD COMPOUNDS,YES,YES,NO,Pounds,0,0.07,3889.74,3890.59
325132,CATECHOL,YES,NO,NO,Pounds,0,0,0,0
325132,ZINC COMPOUNDS,NO,YES,NO,Pounds,0,0,0,0
326199,DIISOCYANATES,YES,NO,NO,Pounds,250,250,0,250
325188,BARIUM COMPOUNDS,NO,YES,NO,Pounds,1703,2847,182,3029
325188,LEAD COMPOUNDS,YES,YES,NO,Pounds,13,112.9,426,626.6
424710,BENZENE,YES,NO,YES,Pounds,680,871,0,871
339991,TOLUENE DIISOCYANATE (MIXED ISOMERS),NO,NO,YES,Pounds,5,5,0,5
332313,COPPER,NO,YES,NO,Pounds,0,0,0,0
332912,LEAD,YES,YES,YES,Pounds,0,0,0,0
424710,TOLUENE,YES,NO,NO,Pounds,0,0,0,0
424690,METHANOL,YES,NO,NO,Pounds,0,0,0,0
335912,MANGANESE COMPOUNDS,YES,YES,NO,Pounds,922,922,93991,94918
325412,COPPER COMPOUNDS,NO,YES,NO,Pounds,0,0,0,0
424710,CYCLOHEXANE,NO,NO,NO,Pounds,0,0,0,0
327310,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",YES,NO,NO,Pounds,260000,260000,0,260000
333319,LEAD,YES,YES,YES,Pounds,0,0.03,2.71,2.74
327310,MERCURY COMPOUNDS,YES,YES,NO,Pounds,22,22,0,22
332811,AMMONIA,NO,NO,NO,Pounds,0,1211.64,0,1211.64
424710,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0.58,0.596,0,0.596
321114,COPPER COMPOUNDS,NO,YES,NO,Pounds,0,0,0,0
325920,LEAD COMPOUNDS,YES,YES,NO,Pounds,2.71,2.71,213.68,216.84
325611,ZINC (FUME OR DUST),NO,YES,NO,Pounds,0,0,0,0
332312,LEAD,YES,YES,YES,Pounds,0,0,1.02,1.05
332312,MANGANESE,YES,YES,NO,Pounds,0,96,36.1,134.17
327910,FORMALDEHYDE,YES,NO,YES,Pounds,0,0,0,0
424710,NAPHTHALENE,YES,NO,NO,Pounds,0,0,0,0
325188,AMMONIA,NO,NO,NO,Pounds,121,121,0,121
325188,NITRATE COMPOUNDS,NO,NO,NO,Pounds,0,0,0,0
322121,FORMIC ACID,NO,NO,NO,Pounds,0,3238,0,3238
332721,COPPER,NO,YES,NO,Pounds,0,0,2.1,2.1
335312,LEAD,YES,YES,YES,Pounds,0,0,0,0
